Model,RMSE,MAE,R2
XGBoost,8579167.382951332,3121149.9339699307,0.6321520793362683
GradientBoosting,9159378.627269402,3175037.9326243973,0.5807143033261914
LightGBM,9202139.30048069,3275122.2736792304,0.5767902839956974
RandomForest,9606759.468258534,3434129.9761271947,0.5387548025373938
